Phone Number,Age,Income,Location,Policy Preference,Steps,Heart Rate,Sleep Hours,Activity Level,CIBIL Score,Savings,Browsing History,Policy Purchased,Life Stage,Financial Goal,Risk Appetite,Policy Tenure,Premium Amount
918138279,30,697787,Gorakhpur,Term Insurance,2797,75,11.2,Low,532,157617.83012441843,Fitness Tips,None,Middle-Aged,Wealth Creation,Medium,0,0
912941090709,37,1170302,Kanpur,Term Insurance,4936,105,9.0,Low,334,200454.0439719289,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
914192957862,24,725910,Jalgaon,ULIP,13306,53,8.2,High,724,177504.1852678586,Health Blogs,Pension Plan,Young Professional,Wealth Creation,Medium,2,39497
3624233437,59,1913223,Moradabad,Term Insurance,2982,84,8.8,Medium,550,287372.18117486464,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
910012550800,63,1913748,Nadiad,Term Insurance,2069,81,8.8,Low,556,407016.9877802105,Retirement Planning,Pension Plan,Retiree,Wealth Creation,Medium,5,21769
4821979615,56,1794434,Mathura,Term Insurance,6010,92,6.7,Low,875,272412.2277045224,Health Blogs,None,Retiree,Wealth Creation,High,0,0
911042695465,22,1097955,Bijapur,ULIP,11249,61,4.8,Medium,609,268225.64110782894,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,14,12866
917264288430,32,1898965,Mahbubnagar,Term Insurance,3125,60,8.8,Medium,723,556096.8657457788,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,6,35532
913289138715,37,839713,Sangli-Miraj & Kupwad,Term Insurance,13879,98,7.7,Low,854,121997.40841632102,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
2529877665,29,492984,Satna,ULIP,4973,86,8.1,Medium,503,133164.8852058346,Health Blogs,None,Young Professional,Wealth Creation,Medium,0,0
9367798264,32,1040458,New Delhi,Term Insurance,13344,54,5.8,High,311,300437.82585740485,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,22,36852
7760395057,35,845504,Kirari Suleman Nagar,Term Insurance,13582,98,7.9,Medium,676,232251.53116306823,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
8096192935,50,1883997,Uluberia,Term Insurance,11947,72,6.2,Medium,346,481414.307260264,Fitness Tips,None,Retiree,Wealth Creation,Medium,0,0
2408709967,49,1077342,Aurangabad,Term Insurance,6511,75,7.7,High,778,130608.8642105627,Fitness Tips,None,Middle-Aged,Wealth Creation,Medium,0,0
916274518899,41,1768695,Kavali,Term Insurance,3929,94,8.9,Medium,798,406314.9501817449,Health Blogs,None,Middle-Aged,Wealth Creation,High,0,0
1670194586,30,671014,Jamalpur,Term Insurance,11595,80,8.7,Low,385,149993.4921118545,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,Medium,11,45585
918002447286,54,1392565,Siliguri,Term Insurance,13809,101,4.4,Low,666,147687.19445084815,Fitness Tips,None,Retiree,Wealth Creation,Medium,0,0
910060171313,18,921526,Satna,ULIP,2629,84,4.1,High,512,149462.14137029764,Health Blogs,None,Young Professional,Wealth Creation,Medium,0,0
9672864611,42,1875199,Dewas,Term Insurance,12819,88,5.6,High,755,556454.5485782468,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,High,25,11937
4133721367,66,776328,Gorakhpur,Term Insurance,14047,74,8.0,Low,370,201503.79097753335,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Medium,13,31668
1050850946,32,1636541,Guntur,Term Insurance,14989,75,6.1,Medium,535,314581.0585273001,Health Blogs,Term Insurance,Middle-Aged,Wealth Creation,Medium,27,40848
917117498351,68,1027820,Kumbakonam,Term Insurance,10255,85,7.4,Medium,519,143735.9627657032,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Medium,24,7466
911302204499,37,1820904,Durg,Term Insurance,4242,71,6.9,High,342,439030.6659075864,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,13,18490
2109269880,21,435192,Amaravati,ULIP,11205,82,4.6,Low,409,53458.26873855529,Health Blogs,Pension Plan,Young Professional,Wealth Creation,Low,6,7659
2935919157,51,1348052,Morena,Term Insurance,6721,77,5.5,High,338,296336.4621288592,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
4010436793,23,1957654,Varanasi,ULIP,12982,70,4.8,Medium,383,270196.29375296144,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Medium,6,37793
6532713279,40,1171635,Karaikudi,Term Insurance,12817,79,10.4,High,545,248842.2224840775,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,Medium,21,10035
4032964550,30,1350088,Kurnool,Term Insurance,9698,73,5.8,Low,592,297142.5801443736,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,Medium,7,44397
8669669027,26,1039475,Khora ,ULIP,14234,80,8.7,Medium,710,216323.69525668063,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,16,45561
2153474793,63,388468,Buxar,Term Insurance,12901,72,5.9,High,563,106749.8543568845,Fitness Tips,Pension Plan,Retiree,Wealth Creation,Medium,23,32280
696330729,29,902982,Haldia,ULIP,12594,67,8.7,High,671,263213.69807193696,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Medium,2,23088
5526837297,41,1058162,Medininagar,Term Insurance,5256,75,6.4,Low,776,228650.86628353063,Fitness Tips,None,Middle-Aged,Wealth Creation,High,0,0
2161107794,47,1464958,Chittoor,Term Insurance,12906,105,8.0,Low,303,302052.8428273582,Health Blogs,ULIP,Middle-Aged,Wealth Creation,Medium,12,28289
2209868324,44,1045114,Kirari Suleman Nagar,Term Insurance,7685,99,6.1,Low,302,166705.2000933632,Fitness Tips,None,Middle-Aged,Wealth Creation,Medium,0,0
7108120678,24,1595943,Varanasi,ULIP,8362,70,5.9,High,547,466245.9213526254,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,Medium,4,47271
3932000811,59,1726596,Jehanabad,Term Insurance,6782,52,7.6,High,362,219644.61449031928,Health Blogs,ULIP,Retiree,Wealth Creation,Medium,3,26411
793032867,43,1415013,Kulti,Term Insurance,7657,65,7.8,High,821,411395.9169451933,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,High,27,19156
9487060605,36,814967,Agra,Term Insurance,7181,79,6.3,Low,669,126162.0562452994,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
6593626799,22,1686802,Mysore,ULIP,14051,82,8.1,High,772,442606.5454373916,Retirement Planning,ULIP,Young Professional,Wealth Creation,High,26,20719
914020901543,44,1625153,Ambarnath,Term Insurance,6379,95,8.0,Medium,529,279772.5542606357,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,15,49527
915448946962,41,699794,Karaikudi,Term Insurance,10893,55,7.2,High,481,182081.5808595652,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,22,42049
9359098702,59,1660767,Kadapa,Term Insurance,14779,83,6.8,Low,770,318005.01473446377,Retirement Planning,Term Insurance,Retiree,Wealth Creation,High,19,20835
919964328589,43,539457,Gorakhpur,Term Insurance,14651,73,5.2,High,740,140918.47401744177,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,2,42371
1769769430,60,859825,Vellore,Term Insurance,8652,62,8.1,Medium,838,148902.9274354313,Retirement Planning,Term Insurance,Retiree,Wealth Creation,Medium,10,15076
3466843552,20,924934,Amritsar,ULIP,4247,86,8.0,Medium,536,106403.74933527775,Fitness Tips,None,Young Professional,Wealth Creation,Medium,0,0
1126628160,67,513997,Korba,Term Insurance,8430,85,7.4,Low,320,118379.68978326718,Fitness Tips,Term Insurance,Retiree,Wealth Creation,Medium,25,44024
918116481157,41,943413,Navi Mumbai,Term Insurance,11694,78,5.7,Low,635,170162.74450786263,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
917338172256,19,1233254,Warangal,ULIP,11223,90,5.5,Medium,411,281793.0540315271,Retirement Planning,None,Young Professional,Wealth Creation,Medium,0,0
919462563558,22,1429573,Bhusawal,ULIP,10738,51,7.7,High,731,201211.2686573596,Fitness Tips,Term Insurance,Young Professional,Wealth Creation,Medium,14,36562
197478088,41,445942,Gaya,Term Insurance,2013,62,7.5,High,480,46623.22454073097,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,Low,29,35582
915615902375,22,911900,Junagadh,ULIP,6667,100,2.7,Low,816,218148.88440089877,Health Blogs,Term Insurance,Young Professional,Wealth Creation,High,7,38386
912521166100,19,375504,Kota,ULIP,6775,81,8.5,Medium,395,51190.101302937925,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Low,24,36456
2500249906,62,1223252,Faridabad,Term Insurance,6203,98,9.2,Medium,669,307809.6503989806,Retirement Planning,None,Retiree,Wealth Creation,Medium,0,0
4773870886,39,1599648,Siwan,Term Insurance,12072,102,7.9,Low,810,279957.24980017205,Health Blogs,None,Middle-Aged,Wealth Creation,High,0,0
2757255378,64,1494768,Gorakhpur,Term Insurance,13384,81,7.7,Medium,318,251786.79353495728,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
3394221287,39,979088,Shahjahanpur,Term Insurance,3287,83,5.3,Low,584,291964.30463203887,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,Medium,23,30428
4991386073,27,606439,Davanagere,ULIP,9211,75,5.3,Low,786,99970.04611015935,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Low,22,5375
911294948774,31,934278,Kalyan-Dombivli,Term Insurance,7223,86,6.0,High,547,235401.68233352943,Retirement Planning,Pension Plan,Middle-Aged,Wealth Creation,Medium,22,7011
3998188875,66,361178,Shimla,Term Insurance,7206,100,7.8,Low,377,38311.44426442597,Retirement Planning,Term Insurance,Retiree,Wealth Creation,Low,28,9829
7922750547,18,1032890,Jalandhar,ULIP,14468,55,8.0,High,647,255490.0899037062,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Medium,28,27960
1764516427,30,1756109,Kalyan-Dombivli,Term Insurance,9758,61,5.4,High,779,408241.3127565463,Fitness Tips,Pension Plan,Middle-Aged,Wealth Creation,High,4,34398
5398037337,45,1494038,Barasat,Term Insurance,3138,77,6.4,Low,361,379601.29651066806,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
7400706064,22,990013,Bidar,ULIP,12978,81,6.2,Low,784,185721.03046734663,Health Blogs,None,Young Professional,Wealth Creation,Medium,0,0
4405879329,54,1624202,Durg,Term Insurance,4432,79,4.6,Low,676,321892.5748573599,Retirement Planning,ULIP,Retiree,Wealth Creation,Medium,12,33496
912753778579,36,1489341,Madhyamgram,Term Insurance,9085,78,7.6,High,662,396763.6002809316,Fitness Tips,None,Middle-Aged,Wealth Creation,Medium,0,0
5335124931,39,1444355,Pali,Term Insurance,10682,57,7.3,High,629,388441.6672293343,Retirement Planning,None,Middle-Aged,Wealth Creation,Medium,0,0
9581395832,27,689801,Mumbai,ULIP,6236,71,6.5,Low,688,130420.38503412514,Retirement Planning,Pension Plan,Young Professional,Wealth Creation,Medium,8,46303
911057125575,67,682995,Morena,Term Insurance,4818,76,7.2,Low,692,133304.79719181603,Health Blogs,None,Retiree,Wealth Creation,Medium,0,0
4515718842,60,1791107,Ramagundam,Term Insurance,13434,86,4.2,Low,832,486882.2840431035,Fitness Tips,None,Retiree,Wealth Creation,High,0,0
7436282675,41,1109404,Pondicherry,Term Insurance,5621,86,5.6,Medium,371,274964.2859699544,Fitness Tips,Term Insurance,Middle-Aged,Wealth Creation,Medium,17,16981
5789740439,58,1110636,Motihari,Term Insurance,11728,77,9.6,Medium,703,248342.91088953963,Retirement Planning,Pension Plan,Retiree,Wealth Creation,Medium,2,46948
6771464877,23,1791924,Gandhinagar,ULIP,12302,92,2.6,Medium,701,474958.42996889725,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,Medium,29,49716
913693676269,66,674288,Nandyal,Term Insurance,8975,97,4.0,Low,653,165398.23728166928,Health Blogs,Term Insurance,Retiree,Wealth Creation,Medium,2,39883
133110745,41,445945,Bhatpara,Term Insurance,3081,105,6.4,Low,708,73108.23056991541,Retirement Planning,Pension Plan,Middle-Aged,Wealth Creation,Low,3,42974
917654177850,30,1542701,Katni,Term Insurance,4645,92,7.2,Low,537,255881.93871092243,Retirement Planning,ULIP,Middle-Aged,Wealth Creation,Medium,28,9233
915033650331,58,1078409,Erode,Term Insurance,2525,75,6.2,Low,688,226772.36897499577,Retirement Planning,Term Insurance,Retiree,Wealth Creation,Medium,29,35972
918359496765,22,791071,Junagadh,ULIP,2144,70,8.7,Medium,621,101051.7861668765,Retirement Planning,Term Insurance,Young Professional,Wealth Creation,Medium,20,22019
2897631194,54,1324621,Karaikudi,Term Insurance,11225,79,5.2,High,392,338069.1726257543,Retirement Planning,Term Insurance,Retiree,Wealth Creation,Medium,20,26278
8905801042,31,1765032,Ghaziabad,Term Insurance,14669,104,6.7,Low,834,469080.0657205482,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,High,17,28125
1225402000,53,325155,Bangalore,Term Insurance,12036,71,4.9,Medium,772,58630.59140489253,Fitness Tips,None,Retiree,Wealth Creation,Low,0,0
1735619441,38,658985,Bhubaneswar,Term Insurance,2052,54,6.4,High,449,99109.72123281068,Fitness Tips,ULIP,Middle-Aged,Wealth Creation,Low,27,29947
8366660054,59,1722493,Karnal,Term Insurance,3934,92,7.5,Medium,751,492894.7393034047,Health Blogs,Pension Plan,Retiree,Wealth Creation,High,21,27565
5111472694,49,1835895,Warangal,Term Insurance,3885,94,4.7,Medium,790,346876.0949386876,Health Blogs,ULIP,Middle-Aged,Wealth Creation,High,5,22599
917938929286,34,1205227,Jalna,Term Insurance,10759,77,6.9,Medium,424,350033.4560841234,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,1,29870
914800084591,22,1857873,Ajmer,ULIP,9718,69,6.8,High,750,382673.56043177575,Fitness Tips,Pension Plan,Young Professional,Wealth Creation,Medium,6,16163
9683562680,62,1421477,Bhilai,Term Insurance,3216,92,7.5,Medium,827,263510.997038039,Fitness Tips,None,Retiree,Wealth Creation,High,0,0
1973752605,50,1562967,Kolhapur,Term Insurance,10726,106,7.0,Low,392,180618.90430874893,Fitness Tips,None,Retiree,Wealth Creation,Medium,0,0
5419962447,38,1763297,Guntur,Term Insurance,6512,78,5.4,High,492,257368.66158767723,Health Blogs,None,Middle-Aged,Wealth Creation,Medium,0,0
913438645864,33,311761,Hindupur,Term Insurance,2171,87,8.1,Low,750,49127.586064832416,Retirement Planning,None,Middle-Aged,Wealth Creation,Low,0,0
9627643267,44,1372355,Chapra,Term Insurance,12936,79,6.7,Low,369,401246.5057431348,Retirement Planning,Term Insurance,Middle-Aged,Wealth Creation,Medium,9,32873
